Run	group	Protein.Group	Genes	PG.MaxLFQ	n_peptides
msrA3	msrA	P00936	cyaA	22.8490733646725	28
msrB1	msrB	P00936	cyaA	23.027927925838547	27
msrB2	msrB	P00936	cyaA	22.98089308032571	27
msrB3	msrB	P00936	cyaA	22.93622258253148	28
msrC1	msrC	P00936	cyaA	22.75523376996705	28
msrC3	msrC	P00936	cyaA	22.702641003373202	28
WT1	WT	P00944	xylA	22.586684967537277	22
WT2	WT	P00944	xylA	22.937322988907734	24
WT3	WT	P00944	xylA	22.874940273436117	23
bisC1	bisC	P00944	xylA	23.088904023719678	23
bisC2	bisC	P00944	xylA	22.99118385821355	23
bisC3	bisC	P00944	xylA	23.37301486556577	25
msrA1	msrA	P00944	xylA	22.795187134040276	25
msrA2	msrA	P00944	xylA	22.450976237137258	23
msrA3	msrA	P00944	xylA	23.08272274769979	23
msrB1	msrB	P00944	xylA	23.071041666184495	24
msrB2	msrB	P00944	xylA	22.995724804455577	24
msrB3	msrB	P00944	xylA	22.828934281229433	22
msrC1	msrC	P00944	xylA	23.715755920282138	25
msrC3	msrC	P00944	xylA	23.56932810809887	25
WT1	WT	P00946	manA	28.294003389708433	27
WT2	WT	P00946	manA	28.280181728211748	27
WT3	WT	P00946	manA	28.208503336808814	28
bisC1	bisC	P00946	manA	28.120670730281855	25
bisC2	bisC	P00946	manA	28.092218065488694	26
bisC3	bisC	P00946	manA	28.215420130739645	29
msrA1	msrA	P00946	manA	28.275170396186095	27
msrA2	msrA	P00946	manA	28.313724079453667	27
